series_id,date,value
JTS000000000000000JOL,2016-03-01,6129.0
JTS000000000000000JOL,2016-04-01,5803.0
JTS000000000000000JOL,2016-05-01,5777.0
JTS000000000000000JOL,2016-06-01,5742.0
JTS000000000000000JOL,2016-07-01,5962.0
JTS000000000000000JOL,2016-08-01,5677.0
JTS000000000000000JOL,2016-09-01,5868.0
JTS000000000000000JOL,2016-10-01,5591.0
JTS000000000000000JOL,2016-11-01,5971.0
JTS000000000000000JOL,2016-12-01,5964.0
JTS000000000000000JOL,2017-01-01,5617.0
JTS000000000000000JOL,2017-02-01,5923.0
JTS000000000000000JOL,2017-03-01,5811.0
JTS000000000000000JOL,2017-04-01,6091.0
JTS000000000000000JOL,2017-05-01,5826.0
JTS000000000000000JOL,2017-06-01,6305.0
JTS000000000000000JOL,2017-07-01,6238.0
JTS000000000000000JOL,2017-08-01,6276.0
JTS000000000000000JOL,2017-09-01,6320.0
JTS000000000000000JOL,2017-10-01,6408.0
JTS000000000000000JOL,2017-11-01,6271.0
JTS000000000000000JOL,2017-12-01,6336.0
JTS000000000000000JOL,2018-01-01,6621.0
JTS000000000000000JOL,2018-02-01,6552.0
JTS000000000000000JOL,2018-03-01,6818.0
JTS000000000000000JOL,2018-04-01,6877.0
JTS000000000000000JOL,2018-05-01,7016.0
JTS000000000000000JOL,2018-06-01,7230.0
JTS000000000000000JOL,2018-07-01,7190.0
JTS000000000000000JOL,2018-08-01,7208.0
JTS000000000000000JOL,2018-09-01,7411.0
JTS000000000000000JOL,2018-10-01,7304.0
JTS000000000000000JOL,2018-11-01,7594.0
JTS000000000000000JOL,2018-12-01,7489.0
JTS000000000000000JOL,2019-01-01,7502.0
JTS000000000000000JOL,2019-02-01,7066.0
JTS000000000000000JOL,2019-03-01,7317.0
JTS000000000000000JOL,2019-04-01,7272.0
JTS000000000000000JOL,2019-05-01,7275.0
JTS000000000000000JOL,2019-06-01,7194.0
JTS000000000000000JOL,2019-07-01,7042.0
JTS000000000000000JOL,2019-08-01,7178.0
JTS000000000000000JOL,2019-09-01,7124.0
JTS000000000000000JOL,2019-10-01,7289.0
JTS000000000000000JOL,2019-11-01,6888.0
JTS000000000000000JOL,2019-12-01,6699.0
JTS000000000000000JOL,2020-01-01,7124.0
JTS000000000000000JOL,2020-02-01,6966.0
JTS000000000000000JOL,2020-03-01,5894.0
JTS000000000000000JOL,2020-04-01,4606.0
JTS000000000000000JOL,2020-05-01,5612.0
JTS000000000000000JOL,2020-06-01,6129.0
JTS000000000000000JOL,2020-07-01,6530.0
JTS000000000000000JOL,2020-08-01,6429.0
JTS000000000000000JOL,2020-09-01,6511.0
JTS000000000000000JOL,2020-10-01,6798.0
JTS000000000000000JOL,2020-11-01,6820.0
JTS000000000000000JOL,2020-12-01,6773.0
JTS000000000000000JOL,2021-01-01,7204.0
JTS000000000000000JOL,2021-02-01,7752.0
JTS000000000000000JOL,2021-03-01,8470.0
JTS000000000000000JOL,2021-04-01,9356.0
JTS000000000000000JOL,2021-05-01,9905.0
JTS000000000000000JOL,2021-06-01,10298.0
JTS000000000000000JOL,2021-07-01,11049.0
JTS000000000000000JOL,2021-08-01,10956.0
JTS000000000000000JOL,2021-09-01,10879.0
JTS000000000000000JOL,2021-10-01,11341.0
JTS000000000000000JOL,2021-11-01,11119.0
JTS000000000000000JOL,2021-12-01,11417.0
JTS000000000000000JOL,2022-01-01,11238.0
JTS000000000000000JOL,2022-02-01,11661.0
JTS000000000000000JOL,2022-03-01,12134.0
